ID;Warehouse_block;Mode_of_Shipment;Customer_care_calls;Customer_rating;Cost_of_the_Product;Prior_purchases;Product_importance;Gender;Discount_offered;Weight_in_gms;Reached_on_Time
5428;D;Road;4;5;188;3;low;M;4;4632;no
5429;F;Ship;3;2;189;3;high;M;1;4997;yes
5430;F;Road;6;4;304;4;low;M;6;1890;yes
5431;A;Ship;3;2;147;4;low;M;13;1657;yes
5432;A;Ship;4;5;248;4;high;F;56;2840;yes
5433;F;Ship;4;2;170;2;low;M;3;4299;no
5434;C;Ship;3;5;240;7;medium;F;9;5525;yes
5435;F;Ship;4;2;265;4;medium;F;40;2637;yes
5436;F;Flight;3;4;243;3;medium;F;8;4959;no
5437;C;Ship;3;2;146;3;high;F;4;5846;yes
5438;A;Ship;4;5;140;3;medium;F;8;4956;no
5439;B;Flight;5;4;245;5;low;F;5;1293;yes
5440;D;Road;3;4;273;4;medium;M;4;5361;no
5441;F;Ship;3;5;183;2;low;F;10;2621;yes
5442;F;Flight;7;3;247;4;medium;M;5;1060;no
5443;D;Flight;6;3;289;5;medium;F;1;1949;yes
5444;B;Ship;3;2;262;4;low;M;1;4745;yes
5445;A;Ship;5;1;172;2;low;F;9;1723;no
5446;F;Ship;5;2;246;3;medium;F;10;5110;no
5447;D;Ship;4;5;251;2;medium;F;28;3561;yes
5448;A;Ship;4;4;168;3;low;M;6;5488;yes
5449;C;Ship;4;3;262;3;low;F;3;4176;no
5450;B;Ship;2;3;147;3;low;F;5;5013;no
5451;A;Ship;3;3;151;3;low;M;7;4611;no
5452;F;Ship;4;2;169;6;low;F;6;4179;no
5453;A;Ship;5;1;132;4;medium;F;4;5461;no
5454;F;Ship;4;3;181;2;low;F;4;5622;yes
5455;F;Ship;3;5;213;2;low;F;39;2857;yes
5456;D;Ship;4;3;171;2;medium;M;10;5211;no
5457;D;Road;4;2;147;3;low;M;3;4152;yes
5458;F;Ship;2;3;247;4;low;M;5;5725;no
5459;F;Ship;4;1;178;8;medium;F;6;4872;no
5460;B;Ship;5;2;189;3;low;F;1;5965;no
5461;B;Ship;5;5;276;4;low;M;2;1411;yes
5462;B;Ship;3;4;169;3;low;F;4;5716;no
5463;A;Ship;6;4;242;3;medium;M;9;5920;no
5464;F;Road;4;4;238;2;low;F;4;4337;yes
5465;A;Flight;4;4;164;2;low;M;7;5456;no
5466;C;Ship;6;2;259;4;low;M;5;1771;yes
5467;F;Road;5;1;228;5;low;F;4;1316;no
5468;D;Ship;4;3;242;3;low;M;1;2808;yes
5469;F;Road;3;4;233;3;medium;F;10;4626;no
5470;F;Road;5;1;171;5;medium;F;8;4699;no
5471;F;Road;5;5;218;5;low;M;5;4303;yes
5472;D;Ship;4;1;183;3;low;M;3;5178;yes
5473;F;Ship;3;1;251;2;low;F;7;5368;yes
5474;C;Ship;4;3;264;5;medium;M;3;1639;no
5475;B;Ship;3;3;265;3;medium;F;8;5070;no
5476;B;Ship;4;4;193;3;medium;M;8;4715;yes
5477;B;Ship;5;2;167;8;low;M;28;1921;yes
5478;A;Ship;3;4;228;2;medium;M;46;3306;yes
5479;B;Ship;3;2;256;3;low;M;1;4932;no
5480;F;Ship;4;1;246;6;low;M;4;1489;no
5481;D;Ship;4;4;121;5;low;F;8;4233;yes
5482;F;Road;;5;191;3;high;F;17;2235;yes
5483;D;Flight;3;3;155;3;low;F;29;1712;yes
5484;C;Ship;5;3;264;5;medium;F;5;1399;no
5485;D;Flight;4;3;173;3;medium;F;2;4351;no
5486;C;Road;4;4;186;3;low;F;2;4430;no
5487;C;Ship;4;2;201;8;medium;F;9;5146;no
5488;C;Ship;6;3;274;4;low;M;10;1174;no
5489;F;Ship;3;5;270;3;high;F;7;4459;yes
5490;F;Flight;3;5;161;3;low;M;2;4475;no
5491;B;Ship;3;2;274;2;high;M;2;5029;no
5492;F;Flight;2;2;155;3;low;M;1;5154;no
5493;C;Ship;5;5;274;5;low;M;7;1875;yes
5494;F;Ship;3;3;201;6;medium;M;2;4984;no
5495;D;Flight;3;2;262;2;medium;M;4;5738;no
5496;F;Ship;3;2;158;3;medium;F;1;5438;no
5497;F;Ship;4;3;222;3;low;F;8;4861;no
5498;B;Ship;5;3;150;4;medium;F;1;5211;no
5499;B;Ship;3;2;199;3;medium;F;8;4164;yes
5500;D;Ship;6;5;244;4;medium;F;6;1185;no
5501;C;Ship;5;4;222;3;low;M;3;5555;no
5502;C;Ship;7;1;257;4;low;M;1;1405;yes
5503;F;Ship;5;4;228;5;low;M;9;1044;no
5504;D;Road;4;4;264;4;medium;M;9;5186;no
5505;A;Flight;5;4;238;3;high;F;5;5907;yes
5506;C;Ship;3;2;173;3;medium;F;37;1990;yes
5507;A;Ship;4;5;142;2;medium;F;7;4594;yes
5508;F;Ship;4;2;150;3;low;M;6;5787;yes
5509;C;Ship;4;4;273;5;low;;10;1316;no
5510;F;Road;6;2;248;4;low;F;10;1563;yes
5511;F;Ship;3;1;270;2;medium;M;6;4966;no
5512;A;Road;4;4;200;4;medium;M;16;2060;yes
5513;B;Road;5;1;113;3;medium;F;6;5509;yes
5514;B;Ship;3;4;176;2;low;F;10;4920;no
5515;B;Ship;5;4;252;3;medium;M;2;4162;no
5516;B;Ship;5;5;133;2;low;F;18;1134;yes
5517;F;Ship;5;3;182;4;medium;M;5;4770;yes
5518;C;Ship;3;4;250;2;medium;M;1;4922;yes
5519;F;Ship;3;3;148;4;low;F;2;5557;no
5520;F;Ship;4;3;216;2;low;M;52;3578;yes
5521;F;Ship;4;2;257;2;low;M;7;5325;yes
5522;B;Ship;3;5;144;2;medium;M;2;4629;yes
5523;A;Ship;3;1;133;3;medium;M;7;4004;yes
5524;A;Ship;4;3;233;2;low;F;45;2732;yes
5525;B;Ship;4;2;268;6;medium;M;2;4348;no
5526;F;Flight;5;4;182;3;medium;F;11;3545;yes
5527;F;Ship;4;2;199;3;low;M;64;2470;yes
5528;C;Flight;5;4;275;4;low;F;7;4597;no
5529;D;Ship;5;5;265;6;low;M;4;1937;yes
5530;B;Ship;3;1;226;3;medium;F;8;5000;no
5531;D;Flight;4;1;183;4;low;M;9;5157;no
5532;F;Road;4;5;246;2;medium;M;31;2415;yes
5533;A;Road;3;4;163;3;medium;M;5;5088;yes
5534;D;Ship;3;4;214;3;low;F;1;5722;no
5535;F;Flight;3;3;252;2;high;M;1;5707;yes
5536;C;Road;5;2;222;3;medium;M;10;5644;yes
5537;C;Road;3;3;136;3;low;M;10;5175;no
5538;B;Flight;5;3;228;3;medium;F;38;3631;yes
5539;F;Ship;3;3;249;2;low;F;2;5078;no
5540;C;Road;4;1;271;5;medium;F;3;1328;no
5541;A;Ship;3;4;196;4;low;F;4;5031;no
5542;D;Road;4;5;258;3;low;M;8;4046;yes
5543;F;Ship;5;2;172;5;medium;F;5;4805;no
5544;C;Ship;3;1;135;2;medium;M;2;4163;no
5545;A;Ship;3;5;270;3;high;M;1;4078;yes
5546;F;Flight;4;4;145;2;medium;M;8;5645;yes
5547;B;Ship;2;1;208;2;low;M;10;4671;yes
5548;F;Ship;4;5;187;3;low;M;7;5022;yes
5549;D;Ship;6;4;157;6;low;F;9;5354;yes
5550;F;Ship;5;1;229;5;low;F;10;1040;yes
5551;D;Ship;4;4;145;4;low;F;35;1210;yes
5552;F;Ship;3;3;261;4;medium;F;4;4307;yes
5553;F;Ship;6;4;253;4;medium;M;10;1248;no
5554;C;Ship;3;3;247;2;high;F;8;4593;yes
5555;A;Flight;5;2;224;4;medium;M;43;2336;yes
5556;F;Ship;5;1;235;3;low;F;7;5061;no
5557;F;Ship;4;3;225;2;low;M;2;4520;yes
5558;D;Flight;3;1;161;3;low;M;9;4865;yes
5559;D;Ship;2;4;149;5;medium;F;7;5541;no
5560;F;Road;3;3;265;3;medium;F;3;5241;no
5561;F;Ship;4;4;201;3;low;F;2;5385;no
5562;A;Ship;3;5;144;4;medium;M;5;1104;yes
5563;D;Ship;4;5;162;3;medium;F;10;4850;yes
5564;C;Road;5;2;250;2;medium;F;6;5565;no
5565;D;Ship;4;4;251;5;medium;F;2;1329;yes
5566;F;Flight;4;1;102;3;medium;M;3;4179;no
5567;B;Road;5;4;271;5;low;M;4;1320;no
5568;D;Ship;3;3;147;2;low;F;52;1040;yes
5569;D;Road;3;2;250;3;low;F;49;3798;yes
5570;D;Ship;5;5;271;2;low;M;27;3957;yes
5571;A;Ship;4;3;136;3;low;F;7;5976;no
5572;D;Ship;5;4;176;3;medium;M;10;5456;no
5573;A;Ship;3;3;148;2;low;M;39;1402;yes
5574;C;Flight;3;3;154;2;low;M;1;5884;yes
5575;D;Road;5;2;262;6;medium;M;10;3164;yes
5576;D;Ship;4;2;263;6;medium;F;4;1644;no
5577;F;Road;5;5;190;4;medium;M;12;2947;yes
5578;F;Flight;3;4;270;2;low;M;4;4681;no
5579;A;Road;3;1;226;3;low;F;8;4002;no
5580;F;Ship;5;5;223;3;medium;F;3;4382;no
5581;A;Ship;6;4;286;4;medium;F;1;1570;no
5582;A;Flight;4;4;225;5;low;M;5;5060;yes
5583;F;Ship;4;5;233;4;low;F;6;1495;no
5584;F;Road;4;1;196;5;low;M;7;5380;no
5585;A;Ship;5;3;248;3;medium;M;10;5567;yes
5586;F;Ship;3;4;257;5;medium;F;5;5365;no
5587;F;Flight;4;1;149;3;low;M;2;4499;no
5588;D;Ship;4;5;197;2;medium;F;40;2710;yes
5589;F;Flight;5;4;233;3;low;M;6;4275;yes
5590;F;Ship;3;4;177;4;medium;F;3;1148;no
5591;A;Flight;2;2;183;4;low;M;48;3374;yes
5592;D;Ship;3;5;274;3;medium;M;5;4710;yes
5593;D;Ship;6;4;297;5;high;M;6;1631;no
5594;F;Flight;4;2;182;3;medium;M;14;3413;yes
5595;D;Ship;5;4;280;4;low;M;10;5156;no
5596;F;Ship;5;1;183;3;low;F;10;5023;no
5597;C;Ship;5;5;254;5;low;F;2;4426;no
5598;A;Ship;3;3;132;3;low;M;6;5721;yes
5599;F;Ship;3;4;271;2;low;M;14;2163;yes
5600;D;Road;5;3;141;2;medium;M;4;5257;no
5601;F;Ship;4;1;254;5;medium;F;3;1880;yes
5602;A;Ship;5;5;193;4;;M;8;5714;no
5603;F;Ship;4;5;216;3;high;M;26;2053;yes
5604;F;Ship;5;4;225;2;low;M;8;4725;no
5605;F;Ship;5;4;225;5;low;F;6;2000;no
5606;F;Ship;6;1;308;4;medium;M;1;1216;yes
5607;B;Ship;3;5;220;3;low;F;5;4407;no
5608;F;Ship;3;2;243;2;medium;M;26;2719;yes
5609;A;Flight;4;5;295;3;low;F;2;1693;no
5610;F;Ship;6;1;141;3;low;F;2;5144;no
5611;F;Ship;4;2;211;2;low;F;9;5883;yes
5612;C;Ship;3;1;170;3;high;F;6;5750;no
5613;F;Flight;3;4;168;2;medium;F;7;4699;yes
5614;A;Flight;3;1;142;2;high;M;18;1428;yes
5615;F;Ship;3;4;238;3;medium;F;8;5337;yes
5616;C;Ship;3;5;168;3;low;M;8;5877;no
5617;D;Ship;3;2;164;4;medium;M;2;1701;yes
5618;C;Ship;4;1;225;2;medium;F;10;4577;yes
5619;A;Ship;4;2;224;3;low;F;3;5967;no
5620;A;Road;4;4;218;5;medium;F;36;2995;yes
5621;D;Ship;4;5;227;3;low;M;65;3984;yes
5622;A;Ship;4;3;134;10;medium;M;8;4337;no
5623;A;Road;5;1;142;4;medium;F;2;4735;yes
5624;F;Road;4;1;225;2;low;M;4;4102;no
5625;C;Ship;4;4;196;3;medium;F;2;4320;yes
5626;F;Ship;3;3;209;3;high;F;2;4036;yes
5627;C;Ship;6;4;263;4;low;M;3;1276;no
5628;F;Ship;5;4;211;3;low;M;9;4908;no
5629;D;Ship;4;4;263;3;medium;M;1;5283;yes
5630;A;Ship;3;1;235;10;low;M;56;2175;yes
5631;F;Ship;3;4;148;4;high;F;1;4249;no
5632;D;Ship;5;1;162;5;low;F;47;1727;yes
5633;A;Flight;4;5;178;2;high;M;5;5403;no
5634;F;Ship;4;5;274;3;medium;M;5;4773;no
5635;C;Flight;5;5;131;5;low;F;1;5299;yes
5636;A;Ship;3;4;254;3;high;M;4;5830;yes
5637;C;Flight;4;3;186;3;medium;F;9;5131;yes
5638;F;Ship;5;5;125;3;low;M;10;4997;no
5639;A;Ship;6;4;168;2;high;M;6;5686;no
5640;C;Ship;4;2;142;10;high;F;9;4280;yes
5641;A;Ship;3;2;214;2;medium;F;9;4512;no
5642;C;Ship;3;3;221;3;low;F;5;4388;no
5643;A;Ship;4;5;168;3;low;F;4;1363;yes
5644;D;Ship;6;3;278;4;low;F;9;1368;no
5645;C;Road;3;4;136;3;low;F;4;5368;no
5646;F;Ship;5;4;263;3;medium;M;61;2606;yes
5647;A;Road;5;5;232;4;low;M;3;5447;no
5648;C;Ship;6;1;286;4;medium;M;1;1636;no
5649;F;Ship;2;5;186;2;low;M;17;3896;yes
5650;B;Ship;4;4;181;3;low;M;44;2070;yes
5651;C;Ship;3;1;140;3;medium;F;65;1291;yes
5652;B;Ship;6;1;193;4;medium;M;8;2952;yes
5653;F;Ship;4;4;144;8;medium;M;6;4390;yes
5654;F;Ship;4;4;201;2;medium;M;7;4320;no
5655;F;Ship;3;1;141;2;low;F;4;1297;yes
5656;C;Ship;5;5;224;3;medium;F;48;2298;yes
5657;D;Ship;4;5;162;2;medium;M;64;1918;yes
5658;F;Ship;3;5;178;3;low;F;7;4135;no
5659;F;Road;4;4;197;5;low;M;8;4793;no
5660;D;Ship;5;4;190;3;medium;F;4;4424;yes
5661;B;Flight;3;3;231;2;low;M;46;2962;yes
5662;F;Ship;2;5;180;6;medium;F;7;4907;yes
5663;F;Road;3;5;264;2;medium;F;1;3947;yes
5664;B;Road;4;2;260;2;low;F;31;2805;yes
5665;F;Ship;3;2;212;2;medium;F;65;3776;yes
5666;D;Ship;3;2;133;2;low;F;3;4677;yes
5667;B;Flight;3;5;268;3;low;M;7;4910;no
5668;B;Ship;3;3;202;3;;F;35;3986;yes
5669;F;Flight;5;1;241;4;medium;F;19;2193;yes
5670;A;Ship;6;4;306;4;low;F;6;1461;no
5671;B;Ship;4;4;233;4;medium;F;59;2358;yes
5672;F;Ship;5;1;258;5;low;F;4;1032;no
5673;A;Ship;4;5;266;3;medium;F;2;4867;no
5674;F;Ship;2;1;264;3;medium;M;10;3409;yes
5675;F;Ship;3;3;254;3;medium;M;3;2837;yes
5676;C;Ship;5;4;179;6;medium;F;8;4615;yes
5677;F;Road;5;5;224;8;low;F;49;3282;yes
5678;A;Ship;5;1;105;6;medium;M;62;1292;yes
5679;B;Ship;2;1;212;2;high;F;8;4128;no
5680;D;Ship;2;2;182;2;medium;F;14;3751;yes
5681;C;Road;3;2;122;4;low;F;9;5299;yes
5682;F;Ship;5;1;259;6;low;F;2;1876;no
5683;A;Ship;3;4;113;3;medium;M;1;5765;yes
5684;D;Ship;3;3;208;5;low;F;10;4258;no
5685;A;Ship;4;5;217;3;medium;M;2;5461;yes
5686;B;Ship;7;3;286;4;low;M;2;1712;yes
5687;C;Road;6;4;150;5;medium;F;8;4709;no
5688;F;Road;5;3;156;3;medium;M;7;4293;no
5689;D;Road;5;5;238;8;low;M;9;5186;no
5690;F;Flight;3;3;157;4;low;M;7;5974;yes
5691;F;Ship;3;5;193;3;medium;F;9;4982;no
5692;C;Ship;3;1;202;3;medium;F;9;4322;no
5693;B;Flight;3;3;201;2;medium;F;8;5032;yes
5694;A;Ship;4;3;230;3;low;F;62;2236;yes
5695;A;Ship;2;5;127;3;low;M;44;1341;yes
5696;D;Ship;4;4;209;6;low;M;62;3532;yes
5697;F;Flight;4;5;134;3;medium;M;3;5000;yes
5698;A;Flight;3;5;192;3;low;F;7;4056;yes
5699;C;Flight;4;5;171;2;medium;F;1;4439;no
5700;B;Ship;5;5;248;2;low;M;4;5587;no
5701;B;Flight;5;2;174;5;medium;M;8;4656;no
5702;B;Ship;3;5;243;3;medium;M;4;3189;yes
5703;B;Flight;2;1;168;4;low;M;6;4800;no
5704;F;Ship;4;5;171;6;medium;F;27;1840;yes
5705;D;Ship;4;3;203;2;medium;F;7;4185;no
5706;A;Ship;3;2;193;2;low;M;3;4799;yes
5707;A;Flight;4;5;133;3;medium;M;4;5180;yes
5708;F;Ship;4;4;177;5;medium;M;7;4070;yes
5709;B;Road;5;5;263;2;medium;M;59;3238;yes
5710;B;Ship;3;1;230;3;medium;M;3;4957;no
5711;D;Flight;4;3;190;5;low;F;8;4736;no
5712;A;Flight;6;3;233;6;low;F;9;4814;no
5713;F;Ship;3;1;250;3;medium;F;6;5832;no
5714;C;Ship;6;1;289;5;medium;M;7;1223;no
5715;F;Ship;3;2;204;3;high;F;54;3608;yes
5716;B;Road;4;1;137;2;low;M;3;4657;no
5717;F;Road;4;3;217;6;medium;F;6;1552;no
5718;F;Ship;4;4;229;6;medium;F;8;1175;no
5719;F;Ship;4;4;158;2;medium;M;15;1030;yes
5720;F;Road;5;2;142;2;low;F;55;1758;yes
5721;A;Ship;6;5;254;4;low;M;7;1674;no
5722;C;Ship;6;3;266;4;medium;M;8;1983;yes
5723;F;Ship;3;3;238;3;medium;M;54;2860;yes
5724;C;Ship;6;1;236;4;low;F;10;2030;yes
5725;C;Ship;2;4;129;3;low;F;48;1219;yes
5726;C;Road;4;1;226;3;low;F;28;2211;yes
5727;C;Ship;3;4;169;4;medium;F;32;1245;yes
5728;D;Ship;3;5;225;2;low;F;56;2596;yes
5729;A;Flight;3;5;251;3;high;F;4;4156;yes
5730;C;Flight;4;2;191;4;low;M;7;5507;yes
5731;B;Road;3;4;206;3;medium;F;5;5915;no
5732;F;Ship;3;4;164;6;medium;F;4;5567;yes
5733;D;Ship;3;4;227;4;low;F;9;5465;no
5734;D;Flight;4;1;228;5;low;F;6;1727;yes
5735;F;Road;4;4;190;2;low;M;2;4460;no
5736;D;Road;6;2;240;6;low;M;3;5967;yes
5737;C;Ship;4;5;176;4;medium;M;6;5061;no
5738;F;Road;5;4;274;3;medium;F;1;4030;no
5739;A;Flight;5;1;222;3;high;M;21;2351;yes
5740;D;Ship;6;3;292;4;low;F;8;1434;no
5741;B;Ship;3;2;238;4;low;F;7;5254;no
5742;A;Ship;4;4;102;3;high;F;9;5644;yes
5743;A;Ship;3;4;155;4;low;M;54;1885;yes
5744;B;Ship;3;2;177;3;low;M;10;1641;yes
5745;B;Ship;4;2;225;3;low;M;52;3189;yes
5746;D;Ship;5;5;232;3;medium;F;33;2998;yes
5747;B;Ship;5;3;223;2;medium;F;9;5735;no
5748;F;Ship;3;4;181;3;low;M;45;2486;yes
5749;F;Ship;4;4;204;2;medium;F;9;4462;no
5750;F;Ship;5;3;206;2;medium;F;59;3278;yes
5751;D;Flight;3;2;286;6;high;F;5;5588;no
5752;C;Ship;3;4;255;2;low;M;2;4504;no
5753;C;Road;3;5;180;2;low;M;33;1444;yes
5754;A;Flight;3;1;139;3;high;F;6;1269;yes
5755;A;Ship;5;1;219;3;low;M;14;2447;yes
5756;B;Ship;3;2;211;6;low;F;2;4417;no
5757;D;Road;5;4;200;3;medium;M;3;4225;no
5758;C;Flight;3;2;207;2;medium;F;10;4070;yes
5759;B;Flight;6;2;259;4;medium;M;6;1066;yes
5760;F;Ship;5;2;248;5;medium;F;9;1973;no
5761;D;Ship;5;4;243;3;low;F;43;2866;yes
5762;B;Ship;3;5;141;2;medium;F;9;5000;no
5763;D;Ship;4;5;264;3;medium;M;57;3753;yes
5764;F;Flight;5;4;281;3;low;F;10;5675;no
5765;B;Ship;4;2;223;3;medium;F;56;3158;yes
5766;F;Ship;5;1;267;4;low;M;5;5792;no
5767;A;Road;4;4;178;4;medium;F;13;1614;yes
5768;A;Ship;3;5;180;3;low;M;6;1228;yes
5769;B;Ship;5;5;208;2;medium;M;8;5321;no
5770;B;Ship;3;5;142;2;low;M;6;5974;yes
5771;B;Ship;5;2;284;4;low;M;1;4171;yes
5772;B;Ship;3;3;260;2;low;M;8;5382;no
5773;B;Road;4;5;177;3;medium;M;7;4031;yes
5774;D;Ship;4;4;255;6;low;F;2;1430;yes
5775;C;Road;3;5;188;3;high;F;9;3206;yes
5776;A;Flight;5;4;250;4;medium;M;4;4531;no
5777;C;Ship;3;2;155;3;medium;F;7;1434;yes
5778;F;Road;3;4;240;3;low;F;28;2356;yes
5779;B;Ship;5;3;190;3;high;M;45;2628;yes
5780;D;Ship;3;3;237;3;medium;M;57;3761;yes
5781;C;Ship;5;5;172;2;low;M;5;5791;no
5782;C;Ship;4;3;229;2;medium;M;7;5364;yes
5783;B;Ship;5;3;182;2;low;M;4;5579;no
5784;C;Ship;3;2;165;2;low;F;24;1966;yes
5785;B;Ship;2;1;271;6;low;F;2;4237;yes
5786;D;Road;4;2;183;3;low;F;33;2741;yes
5787;A;Flight;5;4;236;3;medium;F;1;5711;no
5788;C;Flight;7;4;272;4;low;M;3;1805;no
5789;F;Ship;5;4;266;6;low;F;5;5481;no
5790;D;Ship;3;2;194;3;medium;F;7;4727;yes
5791;A;Ship;5;3;270;5;medium;F;8;1862;no
5792;A;Ship;3;3;273;2;medium;F;7;5491;no
5793;C;Ship;5;1;136;3;low;M;10;5308;no
5794;B;Ship;4;5;154;3;medium;F;9;5489;yes
5795;C;Ship;4;2;212;3;low;M;5;5413;no
5796;D;Ship;6;1;280;4;medium;M;6;1735;yes
5797;D;Ship;3;4;202;2;medium;F;6;5030;no
5798;D;Road;5;4;260;5;low;M;10;1708;yes
5799;F;Road;4;2;186;10;low;M;45;3722;yes
5800;B;Ship;4;1;276;5;low;F;2;1246;no
5801;C;Road;4;5;197;3;low;F;34;3784;yes
5802;D;Ship;4;3;246;5;low;M;5;1395;no
5803;C;Ship;3;2;162;3;medium;M;4;4812;yes
5804;C;Ship;5;1;191;3;low;M;56;3538;yes
5805;C;Ship;4;4;234;2;medium;F;8;5744;no
5806;F;Road;6;4;253;4;medium;F;6;1961;no
5807;D;Ship;5;1;260;5;low;M;4;1257;no
5808;F;Ship;4;1;112;6;medium;M;9;5248;yes
5809;C;Flight;5;2;206;6;medium;M;23;2016;yes
5810;F;Road;6;1;306;4;low;M;1;1210;no
5811;A;Ship;6;4;306;4;low;F;8;1691;yes
5812;D;Ship;6;1;244;4;low;M;5;1867;no
5813;F;Flight;6;3;255;4;medium;F;8;1805;no
5814;B;Flight;2;1;238;4;medium;F;4;4780;no
5815;F;Ship;4;2;169;2;low;M;22;1322;yes
5816;C;Flight;4;4;269;10;high;F;3;4488;no
5817;F;Road;4;5;238;10;medium;F;44;3860;yes
5818;A;Road;2;2;149;4;medium;M;7;4598;no
5819;A;Ship;5;3;236;3;high;F;47;3519;yes
5820;F;Ship;4;3;197;3;medium;F;6;5395;no
5821;D;Ship;7;2;255;4;medium;F;10;1372;no
5822;D;Ship;3;2;145;2;low;F;44;1212;yes
5823;D;Ship;6;5;264;4;medium;M;8;1755;no
5824;B;Flight;5;2;261;3;high;M;3;5303;yes
5825;D;Ship;3;1;156;3;medium;M;9;4278;no
5826;C;Road;3;1;223;3;low;M;8;5318;no
5827;D;Ship;4;4;160;3;low;M;1;4770;no
5828;F;Ship;4;3;257;3;low;F;1;5843;no
5829;B;Ship;3;3;211;6;low;M;5;5777;yes
5830;D;Road;5;3;136;3;medium;F;13;1446;yes
5831;F;Ship;5;1;181;3;low;F;6;5423;no
5832;F;Flight;2;1;226;2;medium;F;1;5576;no
5833;F;Flight;5;4;147;3;medium;M;23;1132;yes
5834;C;Ship;5;5;273;4;low;M;7;4064;yes
5835;C;Road;4;3;146;3;low;M;41;1140;yes
5836;F;Ship;4;1;271;2;low;F;1;4866;no
5837;F;Ship;4;1;240;4;medium;M;7;4818;yes
5838;D;Flight;3;1;264;4;low;M;33;3561;yes
5839;F;Ship;5;3;210;2;medium;M;44;3382;yes
5840;D;Ship;3;4;185;2;low;M;4;5926;no
5841;B;Ship;5;3;213;2;high;F;27;2581;yes
5842;C;Ship;4;5;213;3;medium;F;42;3121;yes
5843;A;Ship;3;3;218;3;low;M;3;2255;yes
5844;F;Flight;2;2;248;2;low;M;46;3707;yes
5845;D;Ship;3;4;128;3;medium;F;51;1524;yes
5846;F;Road;3;4;219;6;low;F;2;1837;no
5847;B;Flight;5;3;191;2;medium;M;7;5783;yes
5848;F;Ship;4;4;243;5;medium;M;2;1842;no
5849;B;Ship;2;4;144;2;medium;M;5;5867;no
5850;F;Road;4;3;217;3;low;M;51;3144;yes
5851;A;Ship;4;4;140;2;low;M;6;4703;no
5852;D;Ship;5;2;226;6;low;F;5;1981;yes
5853;A;Flight;2;5;272;2;low;M;24;3638;yes
5854;D;Ship;5;1;169;4;medium;M;4;4541;no
5855;F;Ship;4;2;192;2;low;M;9;4140;no
5856;C;Ship;5;1;217;2;medium;F;10;4264;no
5857;C;Ship;3;2;225;3;low;M;3;5529;no
5858;A;Ship;3;1;171;2;medium;F;6;5704;yes
5859;D;Ship;5;5;204;5;medium;F;10;4251;no
5860;F;Road;5;5;275;3;low;F;9;1691;yes
5861;B;Flight;5;5;240;6;medium;F;9;1117;no
5862;B;Flight;3;3;170;4;low;M;3;4049;no
5863;F;Ship;3;1;187;2;high;M;56;3774;yes
5864;A;Flight;3;1;166;5;low;F;8;4759;yes
5865;C;Ship;4;1;161;6;low;F;2;5734;no
5866;B;Ship;4;5;161;2;high;F;5;5133;yes
5867;F;Ship;3;4;264;3;low;M;8;4575;yes
5868;F;Flight;7;2;250;5;medium;M;9;1327;no
5869;A;Ship;4;5;253;7;medium;F;11;3825;yes
5870;F;Ship;5;4;147;4;medium;M;6;4369;no
5871;D;Ship;4;2;204;2;low;F;1;4533;no
5872;A;Ship;3;5;247;3;medium;M;10;4286;yes
5873;F;Road;5;2;159;3;medium;F;63;1675;yes
5874;F;Ship;4;4;222;2;low;M;5;5660;no
5875;D;Flight;4;3;247;4;low;F;19;3838;yes
5876;B;Road;4;5;178;3;low;F;23;1695;yes
5877;F;Ship;5;5;206;3;low;M;1;5520;no
5878;B;Ship;4;2;275;6;medium;M;2;1712;yes
5879;B;Ship;2;4;191;3;medium;F;6;4119;no
5880;B;Flight;5;5;256;3;medium;F;6;4145;yes
5881;B;Ship;3;1;200;2;low;F;44;2651;yes
5882;F;Ship;3;1;263;3;low;M;25;3689;yes
5883;A;Road;4;4;184;3;high;F;27;3967;yes
5884;C;Road;4;4;185;2;medium;F;1;4729;no
5885;F;Ship;4;4;266;2;low;F;5;5601;no
5886;A;Ship;3;4;179;3;high;M;57;1582;yes
5887;D;Flight;3;3;238;8;medium;F;3;4943;no
5888;A;Flight;3;3;234;3;low;M;3;4405;no
5889;F;Ship;5;5;135;3;low;F;4;5734;no
5890;B;Ship;3;5;236;2;low;M;10;5755;yes
5891;A;Ship;5;2;149;4;medium;M;48;1068;yes
5892;A;Ship;3;5;259;3;low;F;10;5978;no
5893;B;Road;5;3;244;5;low;F;3;1174;no
5894;D;Flight;4;2;250;3;low;M;5;4488;yes
5895;D;Ship;3;2;157;2;low;M;29;1115;yes
5896;A;Road;5;2;135;2;medium;M;4;5405;no
5897;F;Road;5;4;157;4;low;F;65;1951;yes
5898;D;Ship;4;4;211;4;medium;M;8;4747;yes
5899;D;Ship;3;5;254;3;medium;M;3;4072;no
5900;B;Flight;6;5;258;5;low;F;1;5376;no
5901;D;Ship;5;4;243;6;medium;F;1;4170;yes
5902;B;Flight;2;4;184;5;medium;M;9;5812;no
5903;D;Flight;3;3;272;8;high;M;7;5257;yes
5904;D;Ship;3;2;237;3;low;M;8;5287;yes
5905;B;Ship;5;5;180;5;medium;M;35;1725;yes
5906;A;Road;2;4;155;5;low;M;9;1740;yes
5907;A;Ship;3;4;173;3;medium;M;52;1587;yes
5908;F;Road;3;3;242;3;low;F;8;4199;no
5909;C;Ship;3;3;250;5;medium;M;8;5762;yes
