тип населенного пункта;численность населения;год рождения;возраст;образование;семейное положение;пол;день рождения;месяц рождения;жили в другом городе;национальность;трудоустройство;удовлетворенность работой;удовлетворенность оплатой;отрасль где работаете;месячная зарплата;были ли в отпуске последние 12 месяцев;удовлетворенность материальным положением;сколько классов закончили;в какой школе учились;вера;получаете пенсию;испытывате чувство одиночества;вес;рост;пульс;размер семьи;вы счастливы?
Областной центр;1130132;1968;49;техникум с дипломом;Состоите в зарегистрированном браке;МУЖСКОЙ;6;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ;25000;Да;Не очень удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;74;170;64;3;Да
ПГТ;12161;1970;47;есть диплом о высшем образовании;Никогда в браке не состояли;ЖЕНСКИЙ;9;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ОБРАЗОВАНИЕ;25000;Да;И да, и нет;10;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;63;166;57;4;Да
Село;28362;1974;43;7-9 классов школы (незак. средн) + ПТУ с дипломом;Состоите в зарегистрированном браке;МУЖСКОЙ;12;Ноябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ;30000;Да;Скорее удовлетворены;8;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;74;172;59;5;Да
Областной центр;1143535;1984;33;есть диплом о высшем образовании;Состоите в зарегистрированном браке;МУЖСКОЙ;2;Декабрь;Нет;ТАТАРИН(КА);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ТРАНСПОРТ, СВЯЗЬ;35000;Да;Не очень удовлетворены;11;В обычной средней школе;МУСУЛЬМАНСТВО;Нет;Практически никогда;60;185;62;1;Да
Областной центр;4879566;1982;35;10 и более классов школы и какое-либо професс. обр. с дипломом;Состоите в зарегистрированном браке;ЖЕНСКИЙ;4;Ноябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СОВСЕМ НЕ УДОВЛЕТВОРЕНЫ;ОБРАЗОВАНИЕ;35000;Да;Совсем не удовлетворены;9;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;75;165;68;1;Да
Областной центр;1143535;1979;38;есть диплом о высшем образовании;Состоите в зарегистрированном браке;МУЖСКОЙ;26;Ноябрь;Нет;ТАТАРИН(КА);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ЭНЕРГЕТИЧЕСКАЯ ПРОМЫШЛЕННОСТЬ;35000;Да;И да, и нет;10;В обычной средней школе;МУСУЛЬМАНСТВО;Нет;Практически никогда;80;177;56;3;Да
Областной центр;592034;1956;61;техникум с дипломом;Состоите в зарегистрированном браке;МУЖСКОЙ;11;Ноябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ТРАНСПОРТ, СВЯЗЬ;55000;Да;Скорее удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Да;Практически никогда;65;176;55;3;Да
Областной центр;1143535;1988;29;есть диплом о высшем образовании;Состоите в зарегистрированном браке;ЖЕНСКИЙ;24;Октябрь;Нет;ТАТАРИН(КА);Вы находитесь в отпуске - декретном или по уходу за ребенком до 3-х лет;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ФИНАНСЫ;0;Да;И да, и нет;11;В обычной средней школе;МУСУЛЬМАНСТВО;Да;Редко;54;165;68;2;Да
Областной центр;508887;1988;29;есть диплом о высшем образовании;Состоите в зарегистрированном браке;ЖЕНСКИЙ;28;Октябрь;Нет;РУССКИМ(РУССКОЙ);Вы находитесь в отпуске - декретном или по уходу за ребенком до 3-х лет;СКОРЕЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;СТРОИТЕЛЬСТВО;0;Нет;Скорее удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;84;172;63;4;Да
Областной центр;4879566;1981;36;есть диплом о высшем образовании;Состоите в зарегистрированном браке;ЖЕНСКИЙ;28;Октябрь;Нет;РУССКИМ(РУССКОЙ);Вы находитесь в отпуске - декретном или по уходу за ребенком до 3-х лет;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СОВСЕМ НЕ УДОВЛЕТВОРЕНЫ;СОЦИАЛЬНОЕ ОБСЛУЖИВАНИЕ;50;Нет;Не очень удовлетворены;9;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;116;166;59;5;Да
Областной центр;12325387;1956;61;есть диплом о высшем образовании;Состоите в зарегистрированном браке;ЖЕНСКИЙ;3;Ноябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;СТРОИТЕЛЬСТВО;9700;Да;Совсем не удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Да;Редко;92;172;66;5;Да
Село;1328;1985;31;10 и более классов школы и какое-либо професс. обр. с дипломом;Живете вместе, но не зарегистрированы;ЖЕНСКИЙ;29;Сентябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СОВСЕМ НЕ УДОВЛЕТВОРЕНЫ;СОВСЕМ НЕ УДОВЛЕТВОРЕНЫ;ЛЕГКАЯ, ПИЩЕВАЯ ПРОМЫШЛЕННОСТЬ;10000;Нет;Не очень удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Редко;65;167;76;5;ЗАТРУДНЯЮСЬ ОТВЕТИТЬ
Город;66508;1953;64;есть диплом о высшем образовании;Состоите в зарегистрированном браке;МУЖСКОЙ;10;Декабрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;АРМИЯ, МВД, ОРГАНЫ БЕЗОПАСНОСТИ;10000;Да;Не очень удовлетворены;10;В обычной средней школе;НИ К КАКОЙ РЕЛИГИИ;Да;Редко;100;180;58;3;Нет
Село;1130;1972;45;техникум с дипломом;Bдовец (вдова);ЖЕНСКИЙ;14;Ноябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;ДЕРЕВООБРАБАТЫВАЮЩАЯ ПРОМЫШЛЕННОСТЬ, ЛЕСНОЕ ХОЗЯЙСТВО;14000;Да;Не очень удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Да;Редко;72;165;57;1;Да
Село;409;1971;46;есть диплом о высшем образовании;Состоите в зарегистрированном браке;ЖЕНСКИЙ;15;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;НАУКА, КУЛЬТУРА;14000;Да;И да, и нет;8;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;70;164;61;3;Да
Село;28362;1977;39;10 и более классов школы и какое-либо професс. обр. с дипломом;Состоите в зарегистрированном браке;МУЖСКОЙ;1;Октябрь;Да;АРМЯНИН(КА);Вы сейчас работаете;И ДА, И НЕТ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ЛЕГКАЯ, ПИЩЕВАЯ ПРОМЫШЛЕННОСТЬ;15000;Нет;Совсем не удовлетворены;8;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;100;174;66;4;Да
Областной центр;501169;1984;33;10 и более классов школы и какое-либо професс. обр. с дипломом;Никогда в браке не состояли;МУЖСКОЙ;4;Ноябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;И ДА, И НЕТ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ВОЕННО-ПРОМЫШЛЕННЫЙ КОМПЛЕКС;16000;Да;Не очень удовлетворены;9;В обычной средней школе;НИ К КАКОЙ РЕЛИГИИ;Нет;Часто;63;168;59;2;Да
Город;95854;1985;32;есть диплом о высшем образовании;Состоите в зарегистрированном браке;ЖЕНСКИЙ;25;Октябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;ОБРАЗОВАНИЕ;19000;Нет;Не очень удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Редко;60;160;82;1;Да
ПГТ;3500;1993;24;техникум с дипломом;Никогда в браке не состояли;ЖЕНСКИЙ;6;Декабрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ЗДРАВООХРАНЕНИЕ;19200;Да;Не очень удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;61;169;63;5;Да
Город;97296;1969;48;техникум с дипломом;Состоите в зарегистрированном браке;МУЖСКОЙ;19;Декабрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ЛЕГКАЯ, ПИЩЕВАЯ ПРОМЫШЛЕННОСТЬ;20000;Да;И да, и нет;10;В обычной средней школе;НИ К КАКОЙ РЕЛИГИИ;Нет;Практически никогда;97;170;63;4;Да
Город;52817;1958;59;техникум с дипломом;Состоите в зарегистрированном браке;МУЖСКОЙ;27;Ноябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;ЗДРАВООХРАНЕНИЕ;20000;Да;И да, и нет;8;В обычной средней школе;НИ К КАКОЙ РЕЛИГИИ;Нет;Редко;85;175;79;4;Нет
Областной центр;508887;1988;29;есть диплом о высшем образовании;Состоите в зарегистрированном браке;ЖЕНСКИЙ;26;Октябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ;22000;Да;Скорее удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;64;168;56;2;Да
Село;346;1963;54;10 и более классов школы и какое-либо професс. обр. с дипломом;Состоите в зарегистрированном браке;МУЖСКОЙ;6;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СЕЛЬСКОЕ ХОЗЯЙСТВО;25000;Да;Скорее удовлетворены;8;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;100;178;76;1;Да
ПГТ;17381;1990;26;7-9 классов школы (незак. среднее) и менее 2 лет в техникуме;Состоите в зарегистрированном браке;МУЖСКОЙ;3;Ноябрь;Нет;ЛЕЗГИН(КА);Вы сейчас работаете;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;АРМИЯ, МВД, ОРГАНЫ БЕЗОПАСНОСТИ;27000;Да;Не очень удовлетворены;9;В обычной средней школе;МУСУЛЬМАНСТВО;Нет;Практически никогда;60;170;62;1;Да
Город;66508;1987;30;есть диплом о высшем образовании;Живете вместе, но не зарегистрированы;МУЖСКОЙ;8;Ноябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;ЛЕГКАЯ, ПИЩЕВАЯ ПРОМЫШЛЕННОСТЬ;30000;Да;Скорее удовлетворены;9;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;83;176;80;2;Да
Областной центр;12325387;1985;32;9 классов школы;Состоите в зарегистрированном браке;ЖЕНСКИЙ;7;Ноябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;И ДА, И НЕТ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;СТРОИТЕЛЬСТВО;30000;Да;И да, и нет;9;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Редко;74;155;61;1;Да
Областной центр;1253335;1986;31;есть диплом о высшем образовании;Состоите в зарегистрированном браке;МУЖСКОЙ;28;Ноябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;НЕФТЕГАЗОВАЯ ПРОМЫШЛЕННОСТЬ;30000;Нет;Скорее удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Редко;70;185;77;4;Да
Областной центр;12325387;1972;45;10 и более классов школы и какое-либо професс. обр. с дипломом;Состоите в зарегистрированном браке;ЖЕНСКИЙ;31;Октябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ЛЕГКАЯ, ПИЩЕВАЯ ПРОМЫШЛЕННОСТЬ;31000;Да;Не очень удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;75;164;78;2;Да
Город;104736;1977;40;есть диплом о высшем образовании;Состоите в зарегистрированном браке;ЖЕНСКИЙ;18;Ноябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ОБРАЗОВАНИЕ;32000;Да;И да, и нет;10;В школе с углубленным или профильным преподаванием предметов;ПРАВОСЛАВИЕ;Нет;Практически никогда;77;170;71;3;Да
Областной центр;973826;1988;29;среднее образование - есть аттестат о ср. образовании;Живете вместе, но не зарегистрированы;МУЖСКОЙ;4;Ноябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;АРМИЯ, МВД, ОРГАНЫ БЕЗОПАСНОСТИ;35000;Да;Скорее удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;87;187;76;5;Да
Областной центр;12325387;1959;58;3 и более лет в высшем учебном заведении;Разведены и в браке не состоите;ЖЕНСКИЙ;6;Октябрь;Да;ТАТАРИН(КА);Вы сейчас работаете;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;ЗАТРУДНЯЮСЬ ОТВЕТИТЬ;СОЦИАЛЬНОЕ ОБСЛУЖИВАНИЕ;45000;Да;Не очень удовлетворены;10;В обычной средней школе;НИ К КАКОЙ РЕЛИГИИ;Да;Редко;54;162;60;4;Да
Город;42075;1963;53;есть диплом о высшем образовании;Состоите в зарегистрированном браке;ЖЕНСКИЙ;4;Октябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ЗДРАВООХРАНЕНИЕ;50000;Да;Совсем не удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Да;Практически никогда;93;160;83;3;Да
Областной центр;1253335;1971;46;есть диплом о высшем образовании;Состоите в зарегистрированном браке;МУЖСКОЙ;10;Декабрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ;55000;Да;Скорее удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;110;174;70;4;Нет
Областной центр;12325387;1982;35;есть диплом о высшем образовании;Никогда в браке не состояли;ЖЕНСКИЙ;13;Октябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ФИНАНСЫ;80000;Да;Не очень удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;64;175;56;5;Да
Село;6675;1976;41;техникум с дипломом;Состоите в зарегистрированном браке;ЖЕНСКИЙ;5;Ноябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ТРАНСПОРТ, СВЯЗЬ;5000;Нет;Совсем не удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;90;172;60;3;Да
Село;590;1958;59;10 и более классов школы и какое-либо професс. обр. с дипломом;Состоите в зарегистрированном браке;МУЖСКОЙ;29;Сентябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;И ДА, И НЕТ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;СЕЛЬСКОЕ ХОЗЯЙСТВО;5700;Да;Не очень удовлетворены;9;В обычной средней школе;НИ К КАКОЙ РЕЛИГИИ;Нет;Редко;70;170;83;5;Да
Город;52817;1971;46;техникум с дипломом;Состоите в зарегистрированном браке;ЖЕНСКИЙ;23;Ноябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;И ДА, И НЕТ;СОВСЕМ НЕ УДОВЛЕТВОРЕНЫ;ЗДРАВООХРАНЕНИЕ;9200;Да;Совсем не удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;85;170;58;5;Да
Село;1436;1988;29;среднее образование - есть аттестат о ср. образовании;Состоите в зарегистрированном браке;ЖЕНСКИЙ;4;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;ОБРАЗОВАНИЕ;10000;Нет;Скорее удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;80;165;67;2;Да
Село;256;1957;60;10 и более классов школы и какое-либо професс. обр. с дипломом;Состоите в зарегистрированном браке;МУЖСКОЙ;2;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ЗДРАВООХРАНЕНИЕ;10000;Да;И да, и нет;10;В вечерней школе;ПРАВОСЛАВИЕ;Да;Практически никогда;87;168;78;5;Нет
Село;5859;1962;55;техникум с дипломом;Состоите в зарегистрированном браке;ЖЕНСКИЙ;2;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ;10000;Нет;Не очень удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Да;Практически никогда;80;167;55;2;Нет
Город;97384;1956;61;среднее образование - есть аттестат о ср. образовании;Bдовец (вдова);ЖЕНСКИЙ;24;Сентябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;И ДА, И НЕТ;И ДА, И НЕТ;ДРУГАЯ ОТРАСЛЬ ТЯЖЕЛОЙ ПРОМЫШЛЕННОСТИ;10000;Да;Не очень удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Да;Практически никогда;63;161;54;1;Нет
Село;3246;1953;64;среднее образование - есть аттестат о ср. образовании;Bдовец (вдова);ЖЕНСКИЙ;4;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ;12000;Нет;Не очень удовлетворены;11;В школе другого типа;ПРАВОСЛАВИЕ;Да;Практически никогда;57;155;83;3;Да
Село;1638;1968;49;10 и более классов школы и какое-либо професс. обр. без диплома;Живете вместе, но не зарегистрированы;ЖЕНСКИЙ;16;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ЗДРАВООХРАНЕНИЕ;14000;Да;Совсем не удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;80;175;64;5;Да
Город;95854;1972;44;среднее образование - есть аттестат о ср. образовании;Живете вместе, но не зарегистрированы;ЖЕНСКИЙ;30;Сентябрь;Да;ТАТАРИН(КА);Вы сейчас работаете;И ДА, И НЕТ;СОВСЕМ НЕ УДОВЛЕТВОРЕНЫ;СЕЛЬСКОЕ ХОЗЯЙСТВО;15000;Да;Совсем не удовлетворены;11;В обычной средней школе;МУСУЛЬМАНСТВО;Нет;Практически никогда;60;164;80;1;Да
Областной центр;1143535;1975;42;есть диплом о высшем образовании;Разведены и в браке не состоите;ЖЕНСКИЙ;4;Ноябрь;Да;ТАТАРИН(КА);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ФИНАНСЫ;16000;Да;Не очень удовлетворены;9;В обычной средней школе;МУСУЛЬМАНСТВО;Нет;Практически никогда;74;164;75;2;Да
Областной центр;501169;1987;30;10 и более классов школы и какое-либо професс. обр. с дипломом;Состоите в зарегистрированном браке;МУЖСКОЙ;6;Ноябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ЛЕГКАЯ, ПИЩЕВАЯ ПРОМЫШЛЕННОСТЬ;18000;Да;Не очень удовлетворены;9;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;91;172;66;1;Да
Город;95854;1984;33;есть диплом о высшем образовании;Состоите в зарегистрированном браке;ЖЕНСКИЙ;6;Ноябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;СМИ, ИЗДАТЕЛЬСТВО, ПЕЧАТЬ, ТЕЛЕКОММУНИКАЦИИ;20000;Да;Не очень удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Редко;57;153;78;3;Нет
Город;95854;1978;39;есть диплом о высшем образовании;Состоите в зарегистрированном браке;ЖЕНСКИЙ;8;Октябрь;Да;УДМУРТ(КА);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;ОБРАЗОВАНИЕ;21000;Да;Не очень удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;63;170;71;1;Да
Город;111843;1976;41;техникум с дипломом;Состоите в зарегистрированном браке;ЖЕНСКИЙ;24;Ноябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;СТРОИТЕЛЬСТВО;21000;Да;Совсем не удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Редко;62;158;60;2;Да
Город;72153;1964;53;есть диплом о высшем образовании;Разведены и в браке не состоите;ЖЕНСКИЙ;2;Ноябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;СОВСЕМ НЕ УДОВЛЕТВОРЕНЫ;ОБРАЗОВАНИЕ;26000;Да;И да, и нет;10;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;74;170;72;2;Нет
Областной центр;1130132;1985;32;10 и более классов школы и техникум без диплома;Состоите в зарегистрированном браке;МУЖСКОЙ;28;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;ЛЕГКАЯ, ПИЩЕВАЯ ПРОМЫШЛЕННОСТЬ;30000;Да;И да, и нет;11;В обычной средней школе;НИ К КАКОЙ РЕЛИГИИ;Нет;Практически никогда;96;180;81;3;Да
Областной центр;501169;1956;61;среднее образование - есть аттестат о ср. образовании;Разведены и в браке не состоите;МУЖСКОЙ;6;Декабрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ДРУГАЯ ОТРАСЛЬ ТЯЖЕЛОЙ ПРОМЫШЛЕННОСТИ;33000;Да;Скорее удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Да;Практически никогда;83;182;68;2;Нет
Город;52817;1954;63;техникум с дипломом;Состоите в зарегистрированном браке;МУЖСКОЙ;2;Ноябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ЭНЕРГЕТИЧЕСКАЯ ПРОМЫШЛЕННОСТЬ;35000;Да;Полностью удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Да;Практически никогда;76;164;85;4;Нет
Областной центр;837900;1990;27;есть диплом о высшем образовании;Состоите в зарегистрированном браке;МУЖСКОЙ;8;Октябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ;36000;Нет;Не очень удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;74;182;64;2;Да
Город;111843;1984;33;9 классов школы;Разведены и в браке не состоите;МУЖСКОЙ;29;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СОВСЕМ НЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;НЕФТЕГАЗОВАЯ ПРОМЫШЛЕННОСТЬ;40000;Нет;Совсем не удовлетворены;9;В обычной средней школе;НИ К КАКОЙ РЕЛИГИИ;Нет;Практически никогда;90;174;62;1;Да
Город;97384;1984;32;техникум с дипломом;Живете вместе, но не зарегистрированы;МУЖСКОЙ;18;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ХИМИЧЕСКАЯ ПРОМЫШЛЕННОСТЬ;45000;Да;Не очень удовлетворены;9;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Редко;104;175;62;3;Да
